Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Unit Price Total Measure,Unit Price Total Measure Unit,Unit Price Base Measure,Unit Price Base Measure Unit,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
uzbekistan,,,,,,,,,20GB / 15 Days,,,,,,,,TELNA-UZBEKISTAN-20GB-15D,0.0,,0,deny,manual,26.99,,false,false,,,,,,,,,,,,,kg,,,
uzbekistan,,,,,,,,,20GB / 30 Days,,,,,,,,TELNA-UZBEKISTAN-20GB-30D,0.0,,0,deny,manual,28.99,,false,false,,,,,,,,,,,,,kg,,,
uzbekistan,,,,,,,,,40GB / 5 Days,,,,,,,,TELNA-UZBEKISTAN-40GB-5D,0.0,,0,deny,manual,31.99,,false,false,,,,,,,,,,,,,kg,,,
uzbekistan,,,,,,,,,40GB / 10 Days,,,,,,,,TELNA-UZBEKISTAN-40GB-10D,0.0,,0,deny,manual,32.99,,false,false,,,,,,,,,,,,,kg,,,
uzbekistan,,,,,,,,,40GB / 15 Days,,,,,,,,TELNA-UZBEKISTAN-40GB-15D,0.0,,0,deny,manual,33.99,,false,false,,,,,,,,,,,,,kg,,,
uzbekistan,,,,,,,,,40GB / 30 Days,,,,,,,,TELNA-UZBEKISTAN-40GB-30D,0.0,,0,deny,manual,34.99,,false,false,,,,,,,,,,,,,kg,,,
uzbekistan,,,,,,,,,Unlimited / 5 Days,,,,,,,,TELNA-UZBEKISTAN-UNLIMITED-5D,0.0,,0,deny,manual,14.99,,false,false,,,,,,,,,,,,,kg,,,
uzbekistan,,,,,,,,,Unlimited / 10 Days,,,,,,,,TELNA-UZBEKISTAN-UNLIMITED-10D,0.0,,0,deny,manual,24.99,,false,false,,,,,,,,,,,,,kg,,,
uzbekistan,,,,,,,,,Unlimited / 15 Days,,,,,,,,TELNA-UZBEKISTAN-UNLIMITED-15D,0.0,,0,deny,manual,39.99,,false,false,,,,,,,,,,,,,kg,,,
uzbekistan,,,,,,,,,Unlimited / 30 Days,,,,,,,,TELNA-UZBEKISTAN-UNLIMITED-30D,0.0,,0,deny,manual,59.99,,false,false,,,,,,,,,,,,,kg,,,
usa,USA,"<p>Travel eSIM data plan for USA.</p>
<p>Si vous possédez déjà une eSIM de chez nous, cet achat sera ajouté à votre eSIM existante sous forme de recharge. S’il s’agit de votre premier achat, nous vous enverrons votre code QR par courriel après la confirmation de votre paiement.</p>",Quebec eSIM,,eSIM,"eSIM, Telna, USA",false,Plan,1GB / 5 Days,,,,,,,,TELNA-USA-1GB-5D,0.0,,0,deny,manual,3.99,,false,false,,,,,,,,,false,,,,kg,,,active
usa,,,,,,,,,1GB / 10 Days,,,,,,,,TELNA-USA-1GB-10D,0.0,,0,deny,manual,4.99,,false,false,,,,,,,,,,,,,kg,,,
usa,,,,,,,,,1GB / 15 Days,,,,,,,,TELNA-USA-1GB-15D,0.0,,0,deny,manual,4.99,,false,false,,,,,,,,,,,,,kg,,,
usa,,,,,,,,,1GB / 30 Days,,,,,,,,TELNA-USA-1GB-30D,0.0,,0,deny,manual,7.99,,false,false,,,,,,,,,,,,,kg,,,
usa,,,,,,,,,3GB / 5 Days,,,,,,,,TELNA-USA-3GB-5D,0.0,,0,deny,manual,7.99,,false,false,,,,,,,,,,,,,kg,,,
usa,,,,,,,,,3GB / 10 Days,,,,,,,,TELNA-USA-3GB-10D,0.0,,0,deny,manual,8.99,,false,false,,,,,,,,,,,,,kg,,,
usa,,,,,,,,,3GB / 15 Days,,,,,,,,TELNA-USA-3GB-15D,0.0,,0,deny,manual,9.99,,false,false,,,,,,,,,,,,,kg,,,
usa,,,,,,,,,3GB / 30 Days,,,,,,,,TELNA-USA-3GB-30D,0.0,,0,deny,manual,10.99,,false,false,,,,,,,,,,,,,kg,,,
usa,,,,,,,,,5GB / 5 Days,,,,,,,,TELNA-USA-5GB-5D,0.0,,0,deny,manual,5.99,,false,false,,,,,,,,,,,,,kg,,,
usa,,,,,,,,,5GB / 10 Days,,,,,,,,TELNA-USA-5GB-10D,0.0,,0,deny,manual,6.99,,false,false,,,,,,,,,,,,,kg,,,
usa,,,,,,,,,5GB / 15 Days,,,,,,,,TELNA-USA-5GB-15D,0.0,,0,deny,manual,7.99,,false,false,,,,,,,,,,,,,kg,,,
usa,,,,,,,,,5GB / 30 Days,,,,,,,,TELNA-USA-5GB-30D,0.0,,0,deny,manual,9.99,,false,false,,,,,,,,,,,,,kg,,,
